,username,description,location,following,followers,totaltweets,retweetcount,text,hashtags
0,ApeNr01,Buying and holding AMC & APE💎🖐                                 AMC Perfectly Popcorn at Walmart now available! 🍿❤ Soon AMC Visa Card 😄,🇩🇪,1837,1154,6388,2,Date night #atAMC Dine-In Ontario Mills 30 for #AIRMovie !!! LFG!!! #AMC #AMCGORILLAZ #AMCNEVERLEAVING https://t.co/yCZFuELzUL,"['atAMC', 'AIRMovie', 'AMC', 'AMCGORILLAZ', 'AMCNEVERLEAVING']"
1,ApeNr01,Buying and holding AMC & APE💎🖐                                 AMC Perfectly Popcorn at Walmart now available! 🍿❤ Soon AMC Visa Card 😄,🇩🇪,1837,1154,6388,19,"I'm sorry, folks- not my best Jordan pose.  #atAMC
#AIRMovie    $AMC $APE 
#AMCNOTLEAVING 🍿🏀 https://t.co/V3fBCMKcE4","['atAMC', 'AIRMovie', 'AMCNOTLEAVING']"
2,GeorgeWLDD,None of my posts or comments are financial advice. I am not financial advisor. I despise very old politicians (60+) and their followers!,,3397,4172,85827,4,"🍿🏀 #AIRMovie    Was Amazing especially at #AMCTheatres The Soundtrack seriously underated 🏀🍿
#AMC https://t.co/GMZoIWyBmm","['AIRMovie', 'AMCTheatres', 'AMC']"
3,a_fikaa_a,Xhosa switat❤️,in my room,65,90,2401,382,"@kanagajnr and @kingcregx showed up and we are happy. 
.
Which of your favorite influencers should we invite for the next #FHAD
.
#AirMovie is still showing in our cinemas Nationwide!!!!! https://t.co/UBUxa8qr9k",[]
4,yellowsunleehc,ขอให้จำไว้ว่าเครื่องบิน Take off ได้ เพราะต้านแรงลม | #HAECHAN & #KANGDANIEL,,206,1124,130594,33,Kicking it with the cast of #AIRMovie. Catch the film exclusively in theaters now. https://t.co/WKXTZFx0lq,['AIRMovie']
5,NayaMike,"Holding for fairness, holding AMC even before the battle of 8.01,  because I love movies.",Canada,1573,352,5414,19,"I'm sorry, folks- not my best Jordan pose.  #atAMC
#AIRMovie    $AMC $APE 
#AMCNOTLEAVING 🍿🏀 https://t.co/V3fBCMKcE4","['atAMC', 'AIRMovie', 'AMCNOTLEAVING']"
6,yellowsunleehc,ขอให้จำไว้ว่าเครื่องบิน Take off ได้ เพราะต้านแรงลม | #HAECHAN & #KANGDANIEL,,206,1124,130594,72,"Broke away from the studio earlier this week to checkout 'Air.'
It did not disappoint!

Had to start on a poster tribute as soon as I got home. The result:

#AIRMovie   
#nike #AirJordan1 https://t.co/Qo7y6NTe14",[]
7,yellowsunleehc,ขอให้จำไว้ว่าเครื่องบิน Take off ได้ เพราะต้านแรงลม | #HAECHAN & #KANGDANIEL,,206,1124,130594,25,"ben affleck brought us real cinema over here and this what i gotta say #AirMovie  
 https://t.co/sOXtpdav3N",['AirMovie']
8,rubyankerss,https://t.co/CIWelWRZaa,"Stoke-on-Trent, England",179,433,9343,48,"With all the big blockbuster franchises dominating cinemas at the moment, sometimes it’s nice to take a breather and go watch great actors tell a great story about a pivotal moment in history. That is exactly what #AIRMovie is. https://t.co/FPlnHMC8Dv",[]
9,rubyankerss,https://t.co/CIWelWRZaa,"Stoke-on-Trent, England",179,433,9343,31,"Can we talk about how awesome the #AIRMovie Soundtrack is? A+ 
Sharply written film and it’s a film we needed. Loved it!! https://t.co/pmCelFFc5o",['AIRMovie']
10,warnerbrosau,Welcome to the official Twitter page for Warner Bros. Entertainment Australia,Australia,127,2789,1114,0,"You know the name, now it's time to know the story. Get tickets to see #AirMovie in cinemas now. https://t.co/5W7In7YGTt https://t.co/eeZCT0zMD6",['AirMovie']
11,abderrazz1,,,33,450,20662,4,"🍿🏀 #AIRMovie    Was Amazing especially at #AMCTheatres The Soundtrack seriously underated 🏀🍿
#AMC https://t.co/GMZoIWyBmm","['AIRMovie', 'AMCTheatres', 'AMC']"
